,unified_id,ident,gps_code,latitude_deg,longitude_deg,timezone
38567,KBKS,KBKS,KBKS,27.20680046,-98.12120056,America/Chicago
38568,KBKT,KBKT,KBKT,37.0741996765,-77.9574966431,America/New_York
38569,KBKV,KBKV,KBKV,28.469461,-82.457114,America/New_York
38570,KBKW,KBKW,KBKW,37.7873,-81.124199,America/New_York
38571,KBKX,KBKX,KBKX,44.304798,-96.816902,America/Chicago
38572,KBLF,KBLF,KBLF,37.295799,-81.207703,America/New_York
38573,KBLH,KBLH,KBLH,33.6192016602,-114.717002869,America/Los_Angeles
38574,KBLI,KBLI,KBLI,48.79280090332031,-122.53800201416016,America/Los_Angeles
38575,KBLM,KBLM,KBLM,40.18690109,-74.12490082,America/New_York
38576,KBLU,KBLU,KBLU,39.2750015259,-120.709999084,America/Los_Angeles
38577,KBLV,KBLV,KBLV,38.5452,-89.835197,America/Chicago
38578,KBMC,KBMC,KBMC,41.552399,-112.061996,America/Denver
38579,KBMG,KBMG,KBMG,39.14599990844727,-86.61669921875,America/Indiana/Indianapolis
38580,KBMI,KBMI,KBMI,40.4771,-88.915901,America/Chicago
38581,KBML,KBML,KBML,44.57540131,-71.17590332,America/New_York
38582,KBMQ,KBMQ,KBMQ,30.738899,-98.238602,America/Chicago
38583,KBMT,KBMT,KBMT,30.070635,-94.215746,America/Chicago
38584,KBNA,KBNA,KBNA,36.1245,-86.6782,America/Chicago
38585,KBNG,KBNG,KBNG,33.922548,-116.850672,America/Los_Angeles
38586,KBNL,KBNL,KBNL,33.25780106,-81.38829803,America/New_York
38587,KBNO,KBNO,KBNO,43.590463,-118.955154,America/Los_Angeles
38588,KBNW,KBNW,KBNW,42.049599,-93.847603,America/Chicago
38589,KBOI,KBOI,KBOI,43.5644,-116.223,America/Boise
38590,KBOK,KBOK,KBOK,42.0746,-124.290001,America/Los_Angeles
38591,KBOS,KBOS,KBOS,42.36197,-71.0079,America/New_York
38592,KBOW,KBOW,KBOW,27.943399,-81.783401,America/New_York
38593,KBPG,KBPG,KBPG,32.212601,-101.522003,America/Chicago
38594,KBPI,KBPI,KBPI,42.58509827,-110.1110001,America/Denver
38595,KBPK,KBPK,KBPK,36.3689002991,-92.4704971313,America/Chicago
38596,KBPT,KBPT,KBPT,29.9508,-94.020699,America/Chicago
38597,KBQK,KBQK,KBQK,31.258801,-81.466499,America/New_York
38598,KBQP,KBQP,KBQP,32.756,-91.880556,America/Chicago
38599,KBQR,KBQR,KBQR,42.922298,-78.612297,America/New_York
38600,KBRD,KBRD,KBRD,46.402861,-94.129727,America/Chicago
38601,KBRL,KBRL,KBRL,40.783199310302734,-91.12550354003906,America/Chicago
38602,KBRO,KBRO,KBRO,25.907238,-97.425235,America/Chicago
38603,KBRY,KBRY,KBRY,37.8143005371,-85.4996032715,America/New_York
38604,KBST,KBST,KBST,44.409401,-69.011902,America/New_York
38605,KBT,KBT,,8.90056,170.843994,Pacific/Majuro
38606,KBTA,KBTA,KBTA,41.414908,-96.109136,America/Chicago
38607,KBTF,KBTF,KBTF,40.8694000244,-111.927001953,America/Denver
38608,KBTL,KBTL,KBTL,42.307301,-85.251503,America/Detroit
38609,KBTM,KBTM,KBTM,45.95479965209961,-112.49700164794922,America/Denver
38610,KBTN,KBTN,KBTN,45.815200805664,-97.743103027344,America/Chicago
38611,KBTP,KBTP,KBTP,40.776901,-79.949699,America/New_York
38612,KBTR,KBTR,KBTR,30.533199,-91.149597,America/Chicago
38613,KBTV,KBTV,KBTV,44.471901,-73.153297,America/New_York
38614,KBTY,KBTY,KBTY,36.8610992432,-116.787002563,America/Los_Angeles
38615,KBUB,KBUB,KBUB,41.7766990662,-99.14969635010002,America/Chicago
38616,KBUF,KBUF,KBUF,42.940498,-78.732201,America/New_York
38617,KBUM,KBUM,KBUM,38.2897987366,-94.3401031494,America/Chicago
38618,KBUR,KBUR,KBUR,34.202834,-118.35805,America/Los_Angeles
38619,KBUU,KBUU,KBUU,42.69070053100586,-88.30460357666016,America/Chicago
38620,KBUY,KBUY,KBUY,36.04850006103516,-79.47489929199219,America/New_York
38621,KBVI,KBVI,KBVI,40.772499,-80.391403,America/New_York
38622,KBVN,KBVN,KBVN,41.7286,-98.055801,America/Chicago
38623,KBVO,KBVO,KBVO,36.762501,-96.0112,America/Chicago
38624,KBVS,KBVS,KBVS,48.470901,-122.420998,America/Los_Angeles
38625,KBVX,KBVX,KBVX,35.7262,-91.647301,America/Chicago
38626,KBVY,KBVY,KBVY,42.584202,-70.916496,America/New_York
38627,KBWC,KBWC,KBWC,32.99290085,-115.5169983,America/Los_Angeles
38628,KBWD,KBWD,KBWD,31.7936000824,-98.9564971924,America/Chicago
38629,KBWG,KBWG,KBWG,36.9645004272,-86.41970062259999,America/Chicago
38630,KBWI,KBWI,KBWI,39.1754,-76.668297,America/New_York
38631,KBWP,KBWP,KBWP,46.2440986633,-96.6073989868,America/Chicago
38632,KBWW,KBWW,KBWW,46.165519,-103.30075,America/Denver
38633,KBXA,KBXA,KBXA,30.8136997223,-89.8649978638,America/Chicago
38634,KBXG,KBXG,KBXG,33.04130172729492,-82.00270080566406,America/New_York
38635,KBXK,KBXK,KBXK,33.422397,-112.686317,America/Phoenix
38636,KBXM,KBXM,KBXM,43.89220047,-69.93859863,America/New_York
38637,KBYG,KBYG,KBYG,44.3811,-106.722,America/Denver
38638,KBYH,KBYH,KBYH,35.9642982483,-89.94400024410001,America/Chicago
38639,KBYI,KBYI,KBYI,42.5425987244,-113.772003174,America/Boise
38640,KBYS,KBYS,KBYS,35.2804985046,-116.629997253,America/Los_Angeles
38641,KBYY,KBYY,KBYY,28.973301,-95.863503,America/Chicago
38642,KBZN,KBZN,KBZN,45.778853,-111.153711,America/Denver
38643,KC02,KC02,KC02,42.614899,-88.389603,America/Chicago
38644,KC03,KC03,KC03,41.446201,-85.934799,America/Indiana/Indianapolis
38645,KC04,KC04,KC04,43.641701,-86.329201,America/Detroit
38646,KC08,KC08,KC08,38.013182,-105.374279,America/Denver
38647,KC09,KC09,KC09,41.4254,-88.418701,America/Chicago
38648,KC15,KC15,KC15,40.488201,-89.675903,America/Chicago
38649,KC16,KC16,KC16,40.1464,-88.198502,America/Chicago
38650,KC17,KC17,KC17,42.031101,-91.529297,America/Chicago
38651,KC20,KC20,KC20,41.951698,-86.367699,America/Detroit
38652,KC24,KC24,KC24,37.822017,-106.930289,America/Denver
38653,KC26,KC26,KC26,40.163492,-88.935,America/Chicago
38654,KC27,KC27,KC27,42.490518,-91.497874,America/Chicago
38655,KC28,KC28,KC28,42.147547,-80.10045,America/New_York
38656,KC29,KC29,KC29,43.1143,-89.531502,America/Chicago
38657,KC35,KC35,KC35,43.525902,-89.9832,America/Chicago
38658,KC47,KC47,KC47,43.560299,-89.482903,America/Chicago
38659,KC57,KC57,KC57,43.095701,-84.349643,America/Detroit
38660,KC62,KC62,KC62,41.472698,-85.260803,America/Indiana/Indianapolis
38661,KC63,KC63,KC63,43.251958,-85.059396,America/Detroit
38662,KC65,KC65,KC65,41.365101,-86.300499,America/Indiana/Indianapolis
38663,KC71,KC71,KC71,31.296,-91.052902,America/Chicago
38664,KC73,KC73,KC73,41.833875,-89.443967,America/Chicago
38665,KC74,KC74,KC74,42.704200744628906,-90.964599609375,America/Chicago
38666,KC75,KC75,KC75,41.018391,-89.385865,America/Chicago
38667,KC77,KC77,KC77,42.322899,-88.836304,America/Chicago
38668,KC80,KC80,KC80,36.163101,-120.293999,America/Los_Angeles
38669,KC81,KC81,KC81,42.32460021972656,-88.0740966796875,America/Chicago
38670,KC83,KC83,KC83,37.82647,-121.621699,America/Los_Angeles
38671,KC88,KC88,KC88,43.13909,-84.222501,America/Detroit
38672,KC91,KC91,KC91,41.992901,-86.127998,America/Detroit
38673,KCA2,KCA2,,52.218848,-123.449538,America/Vancouver
38674,KCAD,KCAD,KCAD,44.275749,-85.421534,America/Detroit
38675,KCAE,KCAE,KCAE,33.938172,-81.123022,America/New_York
38676,KCAG,KCAG,KCAG,40.4952011108,-107.522003174,America/Denver
38677,KCAK,KCAK,KCAK,40.91609954833984,-81.44219970703125,America/New_York
38678,KCAO,KCAO,KCAO,36.4462013245,-103.166999817,America/Denver
38679,KCAR,KCAR,KCAR,46.871498,-68.017899,America/New_York
38680,KCAV,KCAV,KCAV,42.741901,-93.758904,America/Chicago
38681,KCBE,KCBE,KCBE,39.615398,-78.760902,America/New_York
38682,KCBF,KCBF,KCBF,41.2592010498,-95.760597229,America/Chicago
38683,KCBG,KCBG,KCBG,45.557499,-93.264198,America/Chicago
38684,KCBK,KCBK,KCBK,39.42750168,-101.0469971,America/Chicago
38685,KCBM,KCBM,KCBM,33.643799,-88.443802,America/Chicago
38686,KCC,KCC,PAKC,56.012586,-132.835093,America/Sitka
38687,KCCA,KCCA,KCCA,35.597801,-92.451599,America/Chicago
38688,KCCB,KCCB,KCCB,34.111599,-117.688004,America/Los_Angeles
38689,KCCO,KCCO,KCCO,33.3116,-84.769798,America/New_York
38690,KCCR,KCCR,KCCR,37.9897,-122.056999,America/Los_Angeles
38691,KCCY,KCCY,KCCY,43.0726013184,-92.6108016968,America/Chicago
38692,KCDA,KCDA,KCDA,44.5690994263,-72.0179977417,America/New_York
38693,KCDC,KCDC,KCDC,37.70100021362305,-113.0989990234375,America/Denver
38694,KCDH,KCDH,KCDH,33.6227989197,-92.7633972168,America/Chicago
38695,KCDI,KCDI,KCDI,39.974998,-81.577599,America/New_York
38696,KCDK,KCDK,KCDK,29.134095,-83.050783,America/New_York
38697,KCDN,KCDN,KCDN,34.2835998535,-80.56490325930001,America/New_York
38698,KCDR,KCDR,KCDR,42.837601,-103.095001,America/Denver
38699,KCDS,KCDS,KCDS,34.4337997437,-100.288002014,America/Chicago
38700,KCDW,KCDW,KCDW,40.875198364300005,-74.2814025879,America/New_York
38701,KCEA,KCEA,KCEA,37.648601532,-97.2506027222,America/Chicago
38702,KCEC,KCEC,KCEC,41.778929,-124.236403,America/Los_Angeles
38703,KCEF,KCEF,KCEF,42.194,-72.534798,America/New_York
38704,KCEK,KCEK,KCEK,40.61790085,-96.92489624,America/Chicago
38705,KCEU,KCEU,KCEU,34.6719017,-82.8864975,America/New_York
38706,KCEV,KCEV,KCEV,39.6985015869,-85.129699707,America/Indiana/Indianapolis
38707,KCEW,KCEW,KCEW,30.778799057,-86.522102356,America/Chicago
38708,KCEY,KCEY,KCEY,36.6646,-88.372803,America/Chicago
38709,KCEZ,KCEZ,KCEZ,37.303001,-108.627998,America/Denver
38710,KCFD,KCFD,KCFD,30.7157001495,-96.3313980103,America/Chicago
38711,KCFE,KCFE,KCFE,45.159,-93.8433,America/Chicago
38712,KCFJ,KCFJ,KCFJ,39.975602,-86.919899,America/Indiana/Indianapolis
38713,KCFS,KCFS,KCFS,43.458801,-83.445503,America/Detroit
38714,KCFT,KCFT,KCFT,32.957039,-109.211397,America/Phoenix
38715,KCFV,KCFV,KCFV,37.09400177,-95.5718994141,America/Chicago
38716,KCGC,KCGC,KCGC,28.867246,-82.571009,America/New_York
38717,KCGE,KCGE,KCGE,38.53929901,-76.03040314,America/New_York
38718,KCGF,KCGF,KCGF,41.5651016235,-81.4863967896,America/New_York
38719,KCGI,KCGI,KCGI,37.2253,-89.570801,America/Chicago
38720,KCGS,KCGS,KCGS,38.9805984497,-76.9223022461,America/New_York
38721,KCGZ,KCGZ,KCGZ,32.954899,-111.766998,America/Phoenix
38722,KCHA,KCHA,KCHA,35.035301,-85.203796,America/New_York
38723,KCHD,KCHD,KCHD,33.2691,-111.810997,America/Phoenix
38724,KCHK,KCHK,KCHK,35.09740067,-97.96769714,America/Chicago
38725,KCHN,KCHN,KCHN,27.5149,-81.880501,America/New_York
38726,KCHO,KCHO,KCHO,38.13859939575195,-78.4529037475586,America/New_York
38727,KCHQ,KCHQ,KCHQ,36.842098,-89.359703,America/Chicago
38728,KCHS,KCHS,KCHS,32.896159,-80.038151,America/New_York
38729,KCHT,KCHT,KCHT,39.7822,-93.495697,America/Chicago
38730,KCHU,KCHU,KCHU,43.596401,-91.503899,America/Chicago
38731,KCIC,KCIC,KCIC,39.795595,-121.857716,America/Los_Angeles
38732,KCID,KCID,KCID,41.884701,-91.7108,America/Chicago
38733,KCII,KCII,KCII,47.8283,-112.167999,America/Denver
38734,KCIN,KCIN,KCIN,42.0461997986,-94.7890014648,America/Chicago
38735,KCIR,KCIR,KCIR,37.064499,-89.219597,America/Chicago
38736,KCIU,KCIU,KCIU,46.242038,-84.462082,America/Detroit
38737,KCJR,KCJR,KCJR,38.526699,-77.858902,America/New_York
38738,KCKA,KCKA,KCKA,36.734348,-98.123531,America/Chicago
38739,KCKB,KCKB,KCKB,39.2966,-80.228104,America/New_York
38740,KCKC,KCKC,KCKC,47.8382987976,-90.3828964233,America/Chicago
38741,KCKF,KCKF,KCKF,31.9888,-83.773903,America/New_York
38742,KCKI,KCKI,KCKI,33.717201,-79.857002,America/New_York
38743,KCKM,KCKM,KCKM,34.2997016907,-90.512298584,America/Chicago
38744,KCKN,KCKN,KCKN,47.8417015076,-96.62159729,America/Chicago
38745,KCKP,KCKP,KCKP,42.7317009,-95.55590057,America/Chicago
38746,KCKV,KCKV,KCKV,36.6218986511,-87.4150009155,America/Chicago
38747,KCKZ,KCKZ,KCKZ,40.389198303222656,-75.29049682617188,America/New_York
38748,KCL,KCL,KCL,56.310776,-158.534818,America/Anchorage
38749,KCLE,KCLE,KCLE,41.411701,-81.8498,America/New_York
38750,KCLI,KCLI,KCLI,44.6138000488,-88.731300354,America/Chicago
38751,KCLK,KCLK,KCLK,35.5383,-98.932701,America/Chicago
38752,KCLL,KCLL,KCLL,30.5886,-96.3638,America/Chicago
38753,KCLM,KCLM,KCLM,48.120201,-123.5,America/Los_Angeles
38754,KCLR,KCLR,KCLR,33.1315002441,-115.521003723,America/Los_Angeles
38755,KCLS,KCLS,KCLS,46.676998,-122.983002,America/Los_Angeles
38756,KCLT,KCLT,KCLT,35.2140007019043,-80.94309997558594,America/New_York
38757,KCLW,KCLW,KCLW,27.9766998291,-82.7586975098,America/New_York
38758,KCMA,KCMA,KCMA,34.213699,-119.094002,America/Los_Angeles
38759,KCMD,KCMD,KCMD,34.2687,-86.858002,America/Chicago
38760,KCMH,KCMH,KCMH,39.998001,-82.891899,America/New_York
38761,KCMI,KCMI,KCMI,40.039819,-88.276249,America/Chicago
38762,KCMR,KCMR,KCMR,35.305555,-112.194393,America/Phoenix
38763,KCMX,KCMX,KCMX,47.168399810791016,-88.48909759521484,America/Detroit
38764,KCMY,KCMY,KCMY,43.958009,-90.737886,America/Chicago
38765,KCN,KCN,KCN,53.402899,-167.520272,America/Nome
38766,KCNB,KCNB,KCNB,44.7295,-96.265999,America/Chicago
38767,KCNC,KCNC,KCNC,41.01959991455078,-93.35970306396484,America/Chicago
38768,KCNH,KCNH,KCNH,43.3703994751,-72.36869812009999,America/New_York
38769,KCNK,KCNK,KCNK,39.5493011475,-97.6522979736,America/Chicago
38770,KCNM,KCNM,KCNM,32.337501525878906,-104.26300048828124,America/Denver
38771,KCNO,KCNO,KCNO,33.97470093,-117.637001,America/Los_Angeles
38772,KCNP,KCNP,KCNP,41.07749938964844,-102.46399688720705,America/Denver
38773,KCNU,KCNU,KCNU,37.668173,-95.486727,America/Chicago
38774,KCNW,KCNW,KCNW,31.641129,-97.073335,America/Chicago
38775,KCNY,KCNY,KCNY,38.755001,-109.754997,America/Denver
38776,KCOD,KCOD,KCOD,44.520199,-109.024002,America/Denver
38777,KCOE,KCOE,KCOE,47.7743,-116.82,America/Los_Angeles
38778,KCOF,KCOF,KCOF,28.2349,-80.6101,America/New_York
38779,KCOI,KCOI,KCOI,28.3416004181,-80.6855010986,America/New_York
38780,KCOM,KCOM,KCOM,31.8411006927,-99.4036026001,America/Chicago
38781,KCON,KCON,KCON,43.20270157,-71.50229645,America/New_York
38782,KCOQ,KCOQ,KCOQ,46.701099,-92.503601,America/Chicago
38783,KCOS,KCOS,KCOS,38.805801,-104.700996,America/Denver
38784,KCOT,KCOT,KCOT,28.45669937,-99.22029877,America/Chicago
38785,KCOU,KCOU,KCOU,38.8181,-92.219597,America/Chicago
38786,KCPC,KCPC,KCPC,34.27289963,-78.71499634,America/New_York
38787,KCPK,KCPK,KCPK,36.6656,-76.320702,America/New_York
38788,KCPM,KCPM,KCPM,33.8899993896,-118.244003296,America/Los_Angeles
38789,KCPR,KCPR,KCPR,42.907381,-106.461609,America/Denver
38790,KCPS,KCPS,KCPS,38.570701599100005,-90.1561965942,America/Chicago
38791,KCPT,KCPT,KCPT,32.353802,-97.433701,America/Chicago
38792,KCPU,KCPU,KCPU,38.14609909057617,-120.64800262451172,America/Los_Angeles
38793,KCQA,KCQA,KCQA,40.4841,-84.560097,America/New_York
38794,KCQB,KCQB,KCQB,35.723801,-96.820297,America/Chicago
38795,KCQJ,KCQJ,KCQJ,38.738586,-104.835148,America/Denver
38796,KCQM,KCQM,KCQM,47.821899,-92.6894,America/Chicago
38797,KCQW,KCQW,KCQW,34.712898,-79.957001,America/New_York
38798,KCQX,KCQX,KCQX,41.68840026855469,-69.989501953125,America/New_York
38799,KCR,KCR,KCR,63.571196,-156.006653,America/Anchorage
38800,KCRE,KCRE,KCRE,33.8116989136,-78.72389984130001,America/New_York
38801,KCRG,KCRG,KCRG,30.3362998962,-81.51439666750001,America/New_York
38802,KCRP,KCRP,KCRP,27.770399,-97.501198,America/Chicago
38803,KCRQ,KCRQ,KCRQ,33.1283,-117.279999,America/Los_Angeles
38804,KCRS,KCRS,KCRS,32.0280990601,-96.4005966187,America/Chicago
38805,KCRT,KCRT,KCRT,33.1782989502,-91.8802032471,America/Chicago
38806,KCRW,KCRW,KCRW,38.3731,-81.593201,America/New_York
38807,KCRX,KCRX,KCRX,34.9150009155,-88.6035003662,America/Chicago
38808,KCRZ,KCRZ,KCRZ,40.994099,-94.754997,America/Chicago
38809,KCSB,KCSB,KCSB,40.306599,-100.162003,America/Chicago
38810,KCSG,KCSG,KCSG,32.516415,-84.939602,America/New_York
38811,KCSM,KCSM,KCSM,35.3398017883,-99.2005004883,America/Chicago
38812,KCSQ,KCSQ,KCSQ,41.0214004517,-94.3632965088,America/Chicago
38813,KCSV,KCSV,KCSV,35.95131,-85.08499,America/Chicago
38814,KCTB,KCTB,KCTB,48.608657,-112.378183,America/Denver
38815,KCTJ,KCTJ,KCTJ,33.631001,-85.152,America/New_York
38816,KCTK,KCTK,KCTK,40.5690994263,-90.074798584,America/Chicago
38817,KCTY,KCTY,KCTY,29.6354999542,-83.10479736330001,America/New_York
38818,KCTZ,KCTZ,KCTZ,34.9756011963,-78.3646011353,America/New_York
38819,KCUB,KCUB,KCUB,33.970500946,-80.9952011108,America/New_York
38820,KCUH,KCUH,KCUH,35.950496,-96.772371,America/Chicago
38821,KCUL,KCUL,KCUL,38.0895,-88.1231,America/Chicago
38822,KCUT,KCUT,KCUT,43.733299,-103.617996,America/Denver
38823,KCVB,KCVB,KCVB,29.3419,-98.850899,America/Chicago
38824,KCVG,KCVG,KCVG,39.048801,-84.667801,America/New_York
38825,KCVH,KCVH,KCVH,36.8932991028,-121.410003662,America/Los_Angeles
38826,KCVK,KCVK,KCVK,36.26490021,-91.56259918,America/Chicago
38827,KCVN,KCVN,KCVN,34.426594,-103.078794,America/Denver
38828,KCVO,KCVO,KCVO,44.49720001,-123.2900009,America/Los_Angeles
38829,KCVS,KCVS,KCVS,34.382801,-103.321999,America/Denver
38830,KCVX,KCVX,KCVX,45.304798,-85.274803,America/Detroit
38831,KCWA,KCWA,KCWA,44.777448,-89.670238,America/Chicago
38832,KCWC,KCWC,KCWC,33.85779953,-98.49040222,America/Chicago
38833,KCWF,KCWF,KCWF,30.2106,-93.143204,America/Chicago
38834,KCWI,KCWI,KCWI,41.8311004639,-90.3291015625,America/Chicago
38835,KCWV,KCWV,KCWV,32.195099,-81.869598,America/New_York
38836,KCXE,KCXE,KCXE,36.78829956054688,-78.50160217285156,America/New_York
38837,KCXL,KCXL,KCXL,32.6694984436,-115.513000488,America/Los_Angeles
38838,KCXO,KCXO,KCXO,30.351801,-95.414497,America/Chicago
38839,KCXP,KCXP,KCXP,39.194331,-119.734312,America/Los_Angeles
38840,KCXU,KCXU,KCXU,31.21315,-84.235396,America/New_York
38841,KCXW,KCXW,KCXW,35.019889,-92.555111,America/Chicago
38842,KCXY,KCXY,KCXY,40.2170982361,-76.85150146480001,America/New_York
38843,KCYO,KCYO,KCYO,39.515999,-82.982101,America/New_York
38844,KCYS,KCYS,KCYS,41.155701,-104.811997,America/Denver
38845,KCYW,KCYW,KCYW,39.3871,-97.157204,America/Chicago
38846,KCZD,KCZD,KCZD,40.86909866,-100.0039978,America/Chicago
38847,KCZG,KCZG,KCZG,42.078499,-76.096296,America/New_York
38848,KCZK,KCZK,KCZK,45.676599,-121.878879,America/Los_Angeles
38849,KCZL,KCZL,KCZL,34.455399,-84.939201,America/New_York
38850,KCZT,KCZT,KCZT,28.5221996307,-99.823600769,America/Chicago
38851,KD00,KD00,,47.260502,-96.400299,America/Chicago
38852,KD02,KD02,D02,43.292396,-92.795634,America/Chicago
38853,KD05,KD05,KD05,47.65589904785156,-101.43699645996094,America/Chicago
38854,KD07,KD07,KD07,45.03609848022461,-102.0199966430664,America/Denver
38855,KD09,KD09,KD09,48.830399,-100.417,America/Chicago
38856,KD11,KD11,KD11,43.720001,-85.0028,America/Detroit
38857,KD14,KD14,KD14,47.551899,-96.291901,America/Chicago
38858,KD17,KD17,KD17,38.7575,-108.148003,America/Denver
38859,KD23,KD23,KD23,42.565367,-78.424766,America/New_York
38860,KD25,KD25,D25,46.122002,-89.882301,America/Chicago
38861,KD31,KD31,KD31,48.28499984741211,-99.40350341796876,America/Chicago
38862,KD37,KD37,D37,48.191541,-96.711912,America/Chicago
38863,KD39,KD39,KD39,45.70660018920898,-94.93340301513672,America/Chicago
38864,KD42,KD42,KD42,44.231098,-94.998901,America/Chicago
38865,KD50,KD50,KD50,48.928501,-103.296997,America/Chicago
38866,KD54,KD54,KD54,46.90079879760742,-96.918701171875,America/Chicago
38867,KD55,KD55,KD55,48.752998,-98.393303,America/Chicago
38868,KD56,KD56,D56,47.476298,-97.328111,America/Chicago
38869,KD57,KD57,KD57,46.812801361083984,-101.86000061035156,America/North_Dakota/New_Salem
38870,KD60,KD60,D60,48.38050079,-102.8980026,America/Chicago
38871,KD64,KD64,KD64,48.91339874267578,-101.03299713134766,America/Chicago
38872,KD68,KD68,KJTC,34.131101,-109.310255,America/Phoenix
38873,KD73,KD73,,33.782398,-83.692903,America/New_York
38874,KD74,KD74,,38.849672,-75.61284,America/New_York
38875,KD83,KD83,D83,39.012699127197,-123.38300323486,America/Los_Angeles
38876,KD86,KD86,D86,36.448600769043,-119.31900024414,America/Los_Angeles
38877,KD95,KD95,D95,43.066601,-83.272301,America/Detroit
38878,KD98,KD98,D98,42.79610062,-82.97499847,America/Detroit
38879,KDAA,KDAA,KDAA,38.715000152600005,-77.1809997559,America/New_York
38880,KDAB,KDAB,KDAB,29.18255,-81.059464,America/New_York
38881,KDAF,KDAF,KDAF,44.033401,-90.085098,America/Chicago
38882,KDAG,KDAG,KDAG,34.85369873,-116.7870026,America/Los_Angeles
38883,KDAL,KDAL,KDAL,32.844776,-96.847653,America/Chicago
38884,KDAN,KDAN,KDAN,36.572899,-79.336098,America/New_York
38885,KDAW,KDAW,KDAW,43.2841,-70.929298,America/New_York
38886,KDAY,KDAY,KDAY,39.902401,-84.219398,America/New_York
38887,KDBN,KDBN,KDBN,32.5644,-82.985298,America/New_York
38888,KDBQ,KDBQ,KDBQ,42.402,-90.709503,America/Chicago
38889,KDCA,KDCA,KDCA,38.8521,-77.037697,America/New_York
38890,KDCM,KDCM,KDCM,34.789299,-81.195801,America/New_York
38891,KDCU,KDCU,KDCU,34.652698516799994,-86.94539642330001,America/Chicago
38892,KDCY,KDCY,KDCY,38.700401,-87.1297,America/Indiana/Vincennes
38893,KDDC,KDDC,KDDC,37.76340103149414,-99.9655990600586,America/Chicago
38894,KDDH,KDDH,KDDH,42.8913,-73.246399,America/New_York
38895,KDEC,KDEC,KDEC,39.834598541259766,-88.8656997680664,America/Chicago
38896,KDED,KDED,KDED,29.066999,-81.283798,America/New_York
38897,KDEH,KDEH,KDEH,43.275501,-91.739403,America/Chicago
38898,KDEN,KDEN,KDEN,39.860027,-104.673792,America/Denver
38899,KDEQ,KDEQ,KDEQ,34.047001,-94.399399,America/Chicago
38900,KDET,KDET,KDET,42.40919876,-83.00990295,America/Detroit
38901,KDEW,KDEW,KDEW,47.966599,-117.427002,America/Los_Angeles
38902,KDFI,KDFI,KDFI,41.3375015259,-84.4288024902,America/New_York
38903,KDFW,KDFW,KDFW,32.896801,-97.038002,America/Chicago
38904,KDGL,KDGL,KDGL,31.3425998688,-109.505996704,America/Phoenix
38905,KDGW,KDGW,KDGW,42.79719925,-105.3860016,America/Denver
38906,KDHN,KDHN,KDHN,31.3213005065918,-85.44960021972656,America/Chicago
38907,KDHT,KDHT,KDHT,36.0225982666,-102.54699707,America/Chicago
38908,KDIJ,KDIJ,KDIJ,43.742667,-111.096829,America/Boise
38909,KDIK,KDIK,KDIK,46.797533,-102.801905,America/Denver
38910,KDKB,KDKB,KDKB,41.936316,-88.704128,America/Chicago
38911,KDKK,KDKK,KDKK,42.49247,-79.273102,America/New_York
38912,KDKR,KDKR,KDKR,31.306999,-95.403801,America/Chicago
38913,KDKX,KDKX,KDKX,35.963902,-83.873901,America/New_York
38914,KDLC,KDLC,KDLC,34.4491004944,-79.368598938,America/New_York
38915,KDLF,KDLF,KDLF,29.359501,-100.778002,America/Chicago
38916,KDLH,KDLH,KDLH,46.841873,-92.198746,America/Chicago
38917,KDLL,KDLL,KDLL,43.522701,-89.770203,America/Chicago
38918,KDLN,KDLN,KDLN,45.2554016113,-112.553001404,America/Denver
38919,KDLO,KDLO,KDLO,35.745601654052734,-119.23699951171876,America/Los_Angeles
38920,KDLS,KDLS,KDLS,45.620979,-121.170777,America/Los_Angeles
38921,KDLZ,KDLZ,KDLZ,40.279701,-83.114799,America/New_York
38922,KDMA,KDMA,KDMA,32.1665000916,-110.883003235,America/Phoenix
38923,KDMN,KDMN,KDMN,32.262298584,-107.721000671,America/Denver
38924,KDMO,KDMO,KDMO,38.70740127559999,-93.1759033203,America/Chicago
38925,KDMW,KDMW,KDMW,39.60829926,-77.00769806,America/New_York
38926,KDNL,KDNL,KDNL,33.4664993286,-82.0393981934,America/New_York
38927,KDNN,KDNN,KDNN,34.72290039,-84.87020111,America/New_York
38928,KDNS,KDNS,KDNS,41.9864006,-95.38069916,America/Chicago
38929,KDNV,KDNV,KDNV,40.199124,-87.59663,America/Chicago
38930,KDOV,KDOV,KDOV,39.129501,-75.466003,America/New_York
38931,KDPA,KDPA,KDPA,41.90779877,-88.24859619,America/Chicago
38932,KDPG,KDPG,KDPG,40.197396,-112.935094,America/Denver
38933,KDPL,KDPL,KDPL,35.00009918,-77.98169708,America/New_York
38934,KDQH,KDQH,KDQH,31.4767,-82.860497,America/New_York
38935,KDRA,KDRA,KDRA,36.6194,-116.032997,America/Los_Angeles
38936,KDRI,KDRI,KDRI,30.831699,-93.339897,America/Chicago
38937,KDRM,KDRM,KDRM,46.0093002319,-83.74389648440001,America/Detroit
38938,KDRO,KDRO,KDRO,37.151501,-107.753998,America/Denver
38939,KDRP,KDRP,KDRP,35.1200556,-90.8265,America/Chicago
38940,KDRT,KDRT,KDRT,29.3742008209,-100.927001953,America/Chicago
38941,KDS,KDS,,-24.3388,139.2785,Australia/Brisbane
38942,KDSM,KDSM,KDSM,41.534027,-93.656719,America/Chicago
38943,KDSV,KDSV,KDSV,42.570545,-77.713273,America/New_York
